id,date,time,dayID,hour,recordInDay,plantPower,plantIrradiance,plantTemperature,weatherCloudCover,weatherDewPoint,weatherHumidity,weatherPressure,weatherTemperature,weatherWindBearing,weatherWindSpeed
1,01-01-12,2:00,1,2,1,0,0,3,0.31,1.05,0.76,1018.5,0,292,4.38
2,01-01-12,3:00,1,3,2,0,0,3,0.24,1.09,0.75,1018.5,0,306,4.26
3,01-01-12,4:00,1,4,3,0,0,3,0.31,0.39,0.73,1018.5,0,286,3.2
4,01-01-12,5:00,1,5,4,449,624,14,0.13,2.16,0.64,1021.52,0,307,3.83
5,01-01-12,6:00,1,6,5,152,231,6,0.31,3.69,0.8,1022.19,7,330,1.86
6,01-01-12,7:00,1,7,6,307,486,13,0.11,3.54,0.82,1024.28,7,296,1.68
7,01-01-12,8:00,1,8,7,132,283,12,0.31,2.76,0.59,1021.52,9,306,4.01
8,01-01-12,9:00,1,9,8,0,0,3,0.11,2.97,0.86,1024.28,6,265,1.76
9,01-01-12,10:00,1,10,9,325,441,10,0.11,2.69,0.88,1024.28,6,260,2.66
10,01-01-12,11:00,1,11,10,9,41,9,0.11,0.64,0.76,1020.08,0,295,3.8
11,01-01-12,12:00,1,12,11,456,593,12,0.31,2.64,0.55,1021.52,9,310,4.42
12,01-01-12,13:00,1,13,12,0,0,4,0.15,2.16,0.52,1021.32,14,342,3.41
13,01-01-12,14:00,1,14,13,8,69,3,0.31,0.89,0.75,1018.5,0,290,4.3
14,01-01-12,15:00,1,15,14,504,678,13,0.31,0.79,0.76,1020.08,0,282,4.14
15,01-01-12,16:00,1,16,15,0,0,2,0.31,2.16,0.52,1021.32,13,339,3.12
16,01-01-12,17:00,1,17,16,0,0,1,0.31,2.48,0.53,1021.32,12,344,2.78
17,01-01-12,18:00,1,18,17,0,0,1,0.31,1.47,0.7,1020.08,0,281,4.14
18,01-01-12,19:00,1,19,18,497,687,14,0.15,2.77,0.57,1022.19,9,357,3.01
19,01-01-12,20:00,1,20,19,0,0,1,0.31,3.09,0.66,1022.19,8,347,1.88
20,02-01-12,2:00,2,2,1,0,0,4,0.31,5.45,0.56,1023.07,10,202,1.73
21,02-01-12,3:00,2,3,2,0,0,4,0.12,5.72,0.62,1022.03,11,184,2.96
22,02-01-12,4:00,2,4,3,9,72,6,0.31,6.01,0.78,1022.03,9,198,1.58
23,02-01-12,5:00,2,5,4,156,238,9,0.31,4.67,0.78,1022.03,9,218,1.08
24,02-01-12,6:00,2,6,5,327,449,13,0.12,4.67,0.78,1022.75,8,186,1.93
25,02-01-12,7:00,2,7,6,453,604,17,0.14,4.41,0.8,1022.75,8,201,1.02
26,02-01-12,8:00,2,8,7,494,684,19,0.31,5.04,0.86,1022.75,8,235,1.72
27,02-01-12,9:00,2,9,8,491,692,20,0,-0.78,0.81,1024.065,0,273,2.57
28,02-01-12,10:00,2,10,9,443,628,20,0.12,-0.99,0.84,1025.38,0,256,0.97
29,02-01-12,11:00,2,11,10,303,490,18,0.12,-1.07,0.83,1025.38,0,240,2.82
30,02-01-12,12:00,2,12,11,131,282,15,0.12,-0.28,0.76,1025.38,0,245,3.21
31,02-01-12,13:00,2,13,12,8,41,11,0.12,-1.12,0.81,1025,0,251,3.38
32,02-01-12,14:00,2,14,13,0,0,9,0.12,-0.86,0.79,1025,0,240,3.27
33,02-01-12,15:00,2,15,14,0,0,9,0.12,1.84,0.77,1025,0,250,2.87
34,02-01-12,16:00,2,16,15,0,0,8,0,2.62,0.63,1024.88,-1,213,2.32
35,02-01-12,17:00,2,17,16,0,0,8,0,4.69,0.59,1024.88,8,236,2.47
36,02-01-12,18:00,2,18,17,0,0,8,0,4.69,0.55,1024.88,9,230,1.52
37,02-01-12,19:00,2,19,18,0,0,5,0,4.68,0.54,1023.07,10,200,2.19
38,02-01-12,20:00,2,20,19,0,0,3,0,5.07,0.53,1023.07,10,203,1.19
39,03-01-12,2:00,3,2,1,11,73,7,0.55,3.91,0.89,1021.865,0,237,1.48
40,03-01-12,3:00,3,3,2,152,235,9,0.45,4.1,0.89,1020.66,0,210,0.93
41,03-01-12,4:00,3,4,3,326,444,13,0.55,3.94,0.94,1020.66,0,253,1.23
42,03-01-12,5:00,3,5,4,449,597,17,0.31,3.87,0.94,1020.66,0,230,2.24
43,03-01-12,6:00,3,6,5,486,669,19,0.33,2.89,0.91,1020.9,0,208,2.03
44,03-01-12,7:00,3,7,6,469,726,20,0.31,3.15,0.87,1020.9,0,238,2.04
45,03-01-12,8:00,3,8,7,354,541,20,0,4.72,0.82,1020.9,0,142,1.9
46,03-01-12,9:00,3,9,8,189,332,19,0.22,7.09,0.76,1021.06,-1,210,2.44
47,03-01-12,10:00,3,10,9,85,165,15,0.31,8.76,0.73,1021.06,8,221,2.27
48,03-01-12,11:00,3,11,10,9,35,12,0.55,9.27,0.73,1021.06,9,180,2.24
49,03-01-12,12:00,3,12,11,0,0,8,0.51,9.89,0.78,1020.88,10,150,2.49
50,03-01-12,13:00,3,13,12,0,0,8,0.31,10.28,0.82,1020.88,10,70,3.9
51,03-01-12,14:00,3,14,13,0,0,8,0.31,10.86,0.78,1020.88,10,104,3.42
52,03-01-12,15:00,3,15,14,0,0,7,0.26,9.52,0.81,1021.25,12,105,1.81
53,03-01-12,16:00,3,16,15,0,0,5,0.31,8.54,0.89,1021.25,8,154,1.61
54,03-01-12,17:00,3,17,16,0,0,7,0.31,7.65,0.91,1021.25,8,134,0.85
55,03-01-12,18:00,3,18,17,0,0,7,0.14,6.1,0.91,1023.29,8,231,0.95
56,03-01-12,19:00,3,19,18,0,0,6,0,5.32,0.92,1023.29,7,251,1.02
57,03-01-12,20:00,3,20,19,0,0,7,0.17,5.37,0.96,1023.29,5,294,1.96
58,04-01-12,2:00,4,2,1,0,0,4,0.14,4.86,0.87,1022.46,0,228,2.13
59,04-01-12,3:00,4,3,2,0,0,3,0.06,7.7,0.86,1021.45,-1,204,2.62
60,04-01-12,4:00,4,4,3,0,0,3,0,9.04,0.79,1021.45,9,230,1.96
61,04-01-12,5:00,4,5,4,0,0,3,0.31,8.92,0.77,1021.45,9,180,3.62
62,04-01-12,6:00,4,6,5,9,61,4,0.26,8.47,0.67,1017.71,10,195,3.76
63,04-01-12,7:00,4,7,6,149,227,7,0.31,8.27,0.66,1017.71,10,207,3.42
